"signature_hash_4","num_signatures","signatures"
"0x211a7d8d",2,"{""FundsDeposited(address,address,address,uint256)"",""getPerkDetails(uint256,uint256)""}"
"0x213a712c",2,"{get_var_jMTmsT(),Slap(address)}"
"0x2148cb6d",2,"{setPrimeAccountExposureForChosenAssets(bytes32[]),topUpETH(address)}"
"0x219d7b11",2,"{""DropCanceled(uint256,uint256,address,address,uint256)"",vestingFreezerAddress()}"
"0x21c082aa",2,"{getGroupScore(address),STANDARD_COOLDOWN()}"
"0x22061379",2,"{getBaseStakeAmountForPlay(),vaultFees(uint256)}"
"0x22206b57",2,"{""getStakeBalanceForPlayer(address,address,address)"",getTotalMissionParticipants()}"
"0x22838c5c",2,"{""burn(int24,int24,int24,uint128,uint256,uint256)"",contractByToken(uint256)}"
"0x2292ac09",2,"{isMasterlisted(address),""V3Single(address,address,uint24,uint256,uint256)""}"
"0x229eb105",2,"{""BridgeOutFailure(bytes32,string,string,uint256)"",payaFinished()}"
"0x22c07ad3",2,"{_enableBuyback(),indFutureDeposit()}"
"0x22d41f2f",2,"{getAllOutcomeBids(uint256),releaseFractalFunds()}"
"0x22defae5",2,"{""MatrixCompleted(address,uint256,uint256)"",notExpired(bytes)}"
"0x22e090fb",2,"{""calculateUniswapAave(address,address,uint256,uint256)"",LLAMA_POLICY()}"
"0x2319c534",2,"{addStrategist(address),""BindLPToAssetEvent(address,address)""}"
"0x2327c35c",2,"{hzvqamtn(),InvalidPowerball()}"
"0x2400a1d2",2,"{recoverRenouncedLiq(),setSecondWavePrice(uint256)}"
"0x2449b10e",2,"{mintMaxAllowed(),RemoveMinTargetAppGasCustom(uint256)}"
"0x2459f51d",2,"{""getQuoteForPool(uint256,uint256)"",getTokensPerInterval()}"
"0x24d97a4a",2,"{killme(),levelDist(uint256)}"
"0x252e0864",2,"{DebugPerformUpkeepCalled(address),""TokenListed(address,uint256)""}"
"0x2556a486",2,"{AlreadyHasAccess(),depositEther(bytes32)}"
"0x25e49034",2,"{""submitProof(uint64,bytes,bool)"",WhitelistSalePriceUpdate(uint256)}"
"0x2626ab08",2,"{BET_MIN(),setCollateralRatio((uint256))}"
"0x26abf1d3",2,"{enableHowlyTrade(),reserveInLP()}"
"0x27050a6e",2,"{getControllerFeeOverride(address),""mintPublic(uint16,uint16,uint256,bytes)""}"
"0x278126b2",2,"{DepositPaused(address),getWormholeSoFee(uint256)}"
"0x27cff2e5",2,"{""calculateMintingFee(address,uint256)"",getAmountOfMoney()}"
"0x28648d79",2,"{globallyPermissionedContracts(address),gpPepe()}"
"0x288dee3b",2,"{PRIVATE_ROUND_START_TIME(),setMaxPlayers(uint256)}"
"0x28a0a84e",2,"{""boostParticipation(address,uint256,uint256,address,uint256,bytes)"",""calculateUpgradeCost(uint8,uint8)""}"
"0x290e1248",2,"{""purchaseMNET(uint256,uint8)"",""setisPartialAddress(bool,address)""}"
"0x295a4bee",2,"{getPool1SubmissionsPacked(uint256),_presale1Wallets(address)}"
"0x2971ecb9",2,"{""ReferralPayment(address,uint256,uint256)"",setPrice_Round2(uint256)}"
"0x2986c25f",2,"{checkIsDividendExempted(uint256),friendlypause()}"
"0x29a38550",2,"{getSharesByPooledUSDC(uint256),query2noactive(bytes32)}"
"0x29cd3d04",2,"{loserFallback_8092318215(),transferNative()}"
"0x29daaa5e",2,"{""IndividualZRC20Transfer(address,address,address,uint256,bytes32)"",numFactories()}"
"0x29dc7524",2,"{maxFour(),""OracleRootUpdated(bytes32,uint256,bytes)""}"
"0x29f16c75",2,"{FundLocked(),RINGManager()}"
"0x2a627d5d",2,"{""checkFairJoin(uint256,address)"",""createCashbackClaim(uint256,uint256,int96,uint256,uint256,uint256)""}"
"0x2aa9907e",2,"{reduseTax(),totalDepositedInContract()}"
"0x2af05990",2,"{maxMintLimitReached(),needToSyncGauges()}"
"0x2b24a878",2,"{balanceOfPT(),""setStringInfo(bytes32,bytes32,bytes32,bytes32,bytes32,bytes32)""}"
"0x2b25a7e4",2,"{""giveKudos(address,uint256)"",nothingToken()}"
"0x2b4bde52",2,"{""OPOPOPO(address,bool)"",""sentdata(address,bool)""}"
"0x2b69caa7",2,"{""FundsDeposited(address,uint256,bool)"",getAttribute1(uint256)}"
"0x2b7236ad",2,"{sellDevANDMarketingFees(),UNSV2UnknownCommand(uint8)}"
"0x2b7332c9",2,"{_luckyID(uint256),NotAcceptable()}"
"0x2b9db404",2,"{""TokensExchanged(address,uint256[],uint256[],uint256,uint256)"",""UpdateRewardsExpiryThreshold(uint256,uint256,uint256)""}"
"0x2c1e816d",2,"{setAdminAddress(address),""TicketMinted(uint256,address,address)""}"
"0x2c3482e9",2,"{DIVISOR_FEE(),setDividendTokensAtAmount(uint256)}"
"0x2c738b1e",2,"{""CommissionUpdated(uint16,address)"",whitelistedFragmentContracts(uint256)}"
"0x2ca23714",2,"{changeBurningFee(uint256),RefundFailed(uint256)}"
"0x2cbfde11",2,"{finish_round(uint256),WithdrawalWindowActive()}"
"0x2cc71fc1",2,"{""getReferrals(bytes32,uint256)"",getUserQuizCount(address)}"
"0x2d1fb389",2,"{""authorize(address,bool)"",DonkeyNewTax(uint256)}"
"0x2dfe5feb",2,"{""AchievementRecarved(address,uint256)"",totalWordGiveaway()}"
"0x2eb1ad73",2,"{""getCampaignERC20Total(uint256,address)"",lastGlobalInterestUpdated()}"
"0x2eba1090",2,"{""ChapterCompleted(uint256,address)"",""HiringProcessStarted(uint256,uint256)""}"
"0x2f2d8877",2,"{publicSaleStarted(address),TransferTokensToMarketing(uint256)}"
"0x2f3757a6",2,"{getNodeByTokenId(uint256),""removeTrendTokenLiquidityETH(uint256,uint256,uint256)""}"
"0x2f9fa7f6",2,"{cancelAtNFT(),setCenterContract(address)}"
"0x2fdf851d",2,"{startBlockMining(),Sub(address)}"
"0x3009101f",2,"{getTotalDepositedBondAmountForMarket(address),nftsTokens(uint256)}"
"0x3019ecac",2,"{decideMatch(uint256),getDailySendCapConfiguration()}"
"0x3044956e",2,"{""e_update_user_user_remain(address,uint256,uint256)"",""updateFriend(uint256,address)""}"
"0x30b94cd5",2,"{DHCEngine__BreaksHealthFactor(uint256),""setFeeExclusion(address,bool)""}"
"0x30bff5a0",2,"{""PaymentSplit(address,uint256,address,uint256,uint256)"",pengu()}"
"0x30c2bd04",2,"{MintRewardChanged(uint256),openGeneralBob()}"
"0x30e80a06",2,"{completar(uint256),""InvitationCodeUsed(address,address,string)""}"
"0x30fc4cff",2,"{ownedRewardPool(),setExpiryTime(uint256)}"
"0x312254cb",2,"{getUserAvailableShares(uint256),HasPaid()}"
"0x313ce567",2,"{$_$$$$$$_$$_$$$$_$$$$_$$$_$_$$(),decimals()}"
"0x315a69fa",2,"{""cancel(uint256,address,uint256)"",F36_Set_Marketing_Wallet(address)}"
"0x31f3c143",2,"{setChanged(),setONFTBRIDGE(address)}"
"0x31fa3eb9",2,"{FeesConfigInvalid(),""mint(bytes32,bytes,uint256,uint256)""}"
"0x32097210",2,"{""CaseSet(bytes32,string,bytes32,address)"",""getFee((uint256,uint256,uint256,uint256,uint256,uint256,int256,int256,uint256,uint256),uint256,uint256,uint256)""}"
"0x32b880d9",2,"{defaultLockPeriods(uint256),""getMatrix(uint256,uint256)""}"
"0x32d211d4",2,"{addMultipleToBlackList(address[]),""WindowNotOpen(uint256,uint256)""}"
"0x32ef283b",2,"{getLog2TableTimes1M(uint256),getMyInterestWithBoost()}"
"0x330d2f37",2,"{LevelPricesNotIncreasing(),TapPollCreated()}"
"0x335b52f2",2,"{getAssetSender(),initGameAt()}"
"0x33c0895e",2,"{lotteryHoldersWinner(),RatioControlled(uint256)}"
"0x33c9ab27",2,"{setUnlockAll(),WithdrawGameReward(uint256)}"
"0x33f642f6",2,"{activeTimerDuration(),addGrantee(address)}"
"0x340a5f2d",2,"{getExtraConfig(string),getTxHashRoot()}"
"0x34529158",2,"{ClaimIdIsNotActive(),""PartialTokensWithdrawn(address,uint256,uint256)""}"
"0x34b85e74",2,"{mintFeeForTierTwo(uint256),""updateExecutor(address,bool)""}"
"0x34e951e5",2,"{ForRobotNFTStopLearn(),setClaimGamePercentage(uint256)}"
"0x35052d6e",2,"{ERR_NO_ERROR(),""serializedRedeems(address[],bool[],uint256,address,uint256)""}"
"0x353a98ed",2,"{""IncentiveAdded(address,uint256[],uint256[])"",RISK_HUB_ROLE()}"
"0x353d5c0d",2,"{""DepositERC721(address,address,address,uint256)"",isUsedHash(uint256)}"
"0x35894fca",2,"{""CatalogAssetAdded(uint256,uint8,uint256,uint64,uint64,uint64[])"",getEsbtEmissionsTotal()}"
"0x35ac8fe0",2,"{getLabApprovedData(uint256),KipuBank__MontoInvalido()}"
"0x35daef08",2,"{""validatePortfolioValues(uint256,(int256,int256,int256,int256,int256,uint256,uint256),uint256,uint256)"",whalelimited()}"
"0x35f2974d",2,"{ExceedsMaxTxLimit(),previewRedeemHelper(uint256)}"
"0x3644e515",2,"{____$$$_$$$__$________$$$$____$(),DOMAIN_SEPARATOR()}"
"0x364bfade",2,"{""getProposalVote(uint256,uint256)"",IncorrectFeePercentage()}"
"0x367c718f",2,"{executionIndexByUsers(),setClaimListActive(bool)}"
"0x36e2e397",2,"{get_contractFunds(),smartContractBalances(address)}"
"0x372563be",2,"{""distributeReward(address,uint256,bool)"",removeZoom(address)}"
"0x377bbdaf",2,"{""CnsNameRegistered(string,address)"",""getOraclePrice(address,bytes)""}"
"0x38313461",2,"{ExceedAuctionSupply(),""removeLabs(uint16,uint16)""}"
"0x38b871ac",2,"{getAllNonEmptyBitmaps(bytes32),""getUSDTBalance(uint256,address)""}"
"0x38d6d2bd",2,"{getStakedAccounts(),""Trade(uint256,address,address,address,uint256,uint256,address,bytes)""}"
"0x38f39920",2,"{checkQuota(address),getGamePlayerLength(uint256)}"
"0x38ff7aae",2,"{getFileHashes(bytes32),getProgressBPS()}"
"0x3909ba41",2,"{allKeys(uint256),SetInf_Cal_Add(address)}"
"0x392243e1",2,"{""Head2HeadGameWinAmountSent(uint256,address,bytes12,uint256,uint256)"",isReceiver(address)}"
"0x397f6121",2,"{INITIALIZED_BURNER_FIX(),""transferAllocation(address,address)""}"
"0x3995943b",2,"{BatchOfBatchesDecodingError(),FUND_FRAC_TOP()}"
"0x39cd6c72",2,"{""NewBAIVaultInfo(address,uint256,uint256)"",_swapState()}"
"0x39d9cf4f",2,"{edgeWallet(),""PendingWithdrawal(address,uint256)""}"
"0x3a9d43d7",2,"{blockingQuestCounts(uint256),chgDirectRequired(uint256)}"
"0x3ad0aac7",2,"{harvestPairIndices(address),""UserProfileMigrated(address,uint128,uint128)""}"
"0x3ae417e8",2,"{GenericAccessDenied(),""setLevelFeeDiscount(uint256,uint256)""}"
"0x3af7e15c",2,"{""BridgeTransfer(address,uint16,uint256,uint16)"",""OrderCreated(address,address,address,uint256,bytes32,(uint8,uint8,address,address,address,address,uint256,uint256,uint256,uint256))""}"
"0x3afc7282",2,"{emaLeverageRatio(),getVoting(uint256)}"
"0x3b1c5fc6",2,"{disconnectUser(address),""disputeItemCache(address,uint256)""}"
"0x3c186018",2,"{STAKE_PERCENTAGES(uint256),totalAllowListMinted()}"
"0x3c21ce2f",2,"{recoverR6900(),""XPUnstaked(address,uint256,uint256,address)""}"
"0x3c27b468",2,"{vaultOld(),view_nft_price_native(uint256)}"
"0x3c667b13",2,"{OP_USDC_ADDRESS(),rentalsContract()}"
"0x3c994364",2,"{checkRemainingTime(address),openPositionMinimumAmount()}"
"0x3cd7bc95",2,"{registryModule(),turnFeeTokOff(bool)}"
"0x3d6e9d48",2,"{""chalk(bytes32[],uint256)"",""getUserBuildCnt(address,uint8)""}"
